============================================================
A股回测报告
回测日期: 2026-03-02
============================================================


────────────────────────────────────────────────────────────
策略: 少妇战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
001373    翔腾新材    03-05     42.44     03-16     40.59     -4.36     -4255.00    
300480    光力科技    03-05     27.00     03-16     30.52     +13.04    +13024.00   
603150    万朗磁塑    03-05     58.99     03-16     55.50     -5.92     -5584.00    
688200    华峰测控    03-05     272.00    03-16     265.01    -2.57     -2097.00    
300165    ST天瑞    03-05     5.61      03-16     5.54      -1.25     -1246.00    
603138    海量数据    03-05     20.94     03-16     21.22     +1.34     +1316.00    
300408    三环集团    03-05     60.60     03-16     55.06     -9.14     -8864.00    
003011    海象新材    03-05     26.45     03-16     25.45     -3.78     -3700.00    
600841    动力新科    03-05     9.95      03-16     8.85      -11.06    -11000.00   
300535    达威股份    03-05     21.57     03-16     21.68     +0.51     +506.00     
603005    晶方科技    03-05     32.45     03-16     30.65     -5.55     -5400.00    
300334    津膜科技    03-05     7.75      03-16     8.12      +4.77     +4773.00    
688002    睿创微纳    03-05     111.29    03-16     105.00    -5.65     -5032.00    
603135    中重科技    03-05     11.61     03-16     11.12     -4.22     -4214.00    
300326    ST凯利    03-05     6.12      03-16     6.20      +1.31     +1304.00    
301429    森泰股份    03-05     20.92     03-16     21.17     +1.20     +1175.00    
300052    ST中青    03-05     13.95     03-16     13.43     -3.73     -3692.00    
002334    英威腾     03-05     9.66      03-17     8.73      -9.63     -9579.00    
000157    中联重科    03-05     9.68      03-16     8.94      -7.64     -7622.00    
002318    久立特材    03-05     34.30     03-16     32.71     -4.64     -4611.00    
605177    东亚药业    03-05     21.65     03-16     22.52     +4.02     +4002.00    
300775    三角防务    03-05     40.20     03-16     37.04     -7.86     -7584.00    
605118    力鼎光电    03-05     43.89     03-16     42.15     -3.96     -3828.00    
600955    维远股份    03-05     19.34     03-16     17.30     -10.55    -10404.00   
300066    三川智慧    03-05     7.59      03-16     7.17      -5.53     -5502.00    
688681    科汇股份    03-05     19.74     03-16     20.82     +5.47     +5400.00    
002833    弘亚数控    03-05     18.20     03-16     18.33     +0.71     +702.00     
000680    山推股份    03-05     12.91     03-16     11.48     -11.08    -11011.00   
601568    北元集团    03-05     4.30      03-17     4.44      +3.26     +3248.00    
300776    帝尔激光    03-05     87.86     03-16     80.37     -8.52     -8239.00    
600847    万里股份    03-05     13.36     03-16     14.49     +8.46     +8362.00    
001326    联域股份    03-05     59.48     03-16     63.15     +6.17     +5872.00    
600499    科达制造    03-05     16.71     03-16     16.84     +0.78     +767.00     
002601    龙佰集团    03-05     21.70     03-16     18.87     -13.04    -13018.00   
301469    恒达新材    03-05     35.80     03-16     33.87     -5.39     -5211.00    
002488    金固股份    03-05     12.34     03-16     12.23     -0.89     -891.00     
605399    晨光新材    03-05     15.59     03-16     15.95     +2.31     +2304.00    
688216    气派科技    03-05     31.44     03-16     30.53     -2.89     -2821.00    
301390    经纬股份    03-05     39.50     03-16     40.83     +3.37     +3325.00    
301156    美农生物    03-05     19.45     03-16     20.97     +7.81     +7752.00    
600261    阳光照明    03-05     3.73      03-16     3.96      +6.17     +6164.00    
